Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
505,2172197,RPS 1st Inns,14.2,"Zaheer to Dinda, no run, has Karun plucked a one-handed stunner? The third umpire is called for, the soft call is OUT. Looked like a good catch on first view. Has the ball touched the ground, has he got his fingers underneath? The third umpire is having a look at different angles, this will be a tricky call. NOT OUT it is. Fair call, looked like the ball might just have touched the ground as Karun plucked it. Coming to the ball, it was full and shaping away, squared up Dinda as he was looking to work it towards the on-side, the edge flew to the left of first slip. Karun stuck his left hand out and claimed the catch",Zaheer to Dinda,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, has Karun plucked a one-handed stunner? The third umpire is called for, the soft call is OUT. Looked like a good catch on first view. Has the ball touched the ground, has he got his fingers underneath? The third umpire is having a look at different angles, this will be a tricky call. NOT OUT it is. Fair call, looked like the ball might just have touched the ground as Karun plucked it. Coming to the ball, it was full and shaping away, squared up {{BATSMAN}} as he was looking to work it towards the on-side, the edge flew to the left of first slip. Karun stuck his left hand out and claimed the catch",RPS,Zaheer,Dinda,Dinda,,Zaheer,,5,,6,
696,8517839,GL 1st Inns,2.5,"SN Thakur to Brendon McCullum, no run, hit straight back at Thakur who puts it down. Half a chance here. McCullum had timed that beautifully and the ball was travelling. But it came at a nice height in the followthrough. Thakur parries it towards mid-off",SN Thakur to Brendon McCullum,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, hit straight back at {{BOWLER}} who puts it down. Half a chance here. {{BATSMAN}} had timed that beautifully and the ball was travelling. But it came at a nice height in the followthrough. {{BOWLER}} parries it towards mid-off",GL,SN Thakur,Brendon McCullum,Brendon,McCullum,SN,Thakur,7,8.0,2,6.0
806,8351592,DC 1st Inns,14.1,"Cariappa to Corey Anderson, no run, almost thumped it back to Cariappa. Flatter offie around, Anderson hangs back and punches it straight down the wicket, did not keep it down the ground, Cariappa is late to react, the ball hits his upper part of his hand and goes to ground. Tough chance but should have been taken",Cariappa to Corey Anderson,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, almost thumped it back to {{BOWLER}}. Flatter offie around, {{BATSMAN}} hangs back and punches it straight down the wicket, did not keep it down the ground, {{BOWLER}} is late to react, the ball hits his upper part of his hand and goes to ground. Tough chance but should have been taken",DC,Cariappa,Corey Anderson,Corey,Anderson,Cariappa,,5,8.0,8,
912,9515142,RCB 1st Inns,1.2,"SN Thakur to Kohli, no run, Tiwary drops Kohli. Oh you can't do that. Thakur hits the pitch hard on a back of a length outside off, Kohli dangles a horizontal bat and edges it for a simple catch to first slip where Tiwary makes a meal of it",SN Thakur to Kohli,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, Tiwary drops {{BATSMAN}}. Oh you can't do that. {{BOWLER}} hits the pitch hard on a back of a length outside off, {{BATSMAN}} dangles a horizontal bat and edges it for a simple catch to first slip where Tiwary makes a meal of it",RCB,SN Thakur,Kohli,Kohli,,SN,Thakur,5,,2,6.0
971,2969824,DC 1st Inns,13.4,"Narine to Nair, no run, dropped! The penalty you pay for fielding a part-time wicket-keeper. The flatter knuckle ball around off, Nair moved away to the leg-side and tried to force it off the back foot, the outside edge goes straight in and straight out of Uthappa's gloves. That would have been two set batsmen removed in one over",Narine to Nair,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, dropped! The penalty you pay for fielding a part-time wicket-keeper. The flatter knuckle ball around off, {{BATSMAN}} moved away to the leg-side and tried to force it off the back foot, the outside edge goes straight in and straight out of Uthappa's gloves. That would have been two set batsmen removed in one over",DC,Narine,Nair,Nair,,Narine,,4,,6,
1031,9296666,KXIP 1st Inns,11.0,"Nabi to Axar, no run, spills a return catch. Axar hits it straight back at him but it's not coming too fast and the height is pretty comfortable too. He should have taken it",Nabi to Axar,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, spills a return catch. {{BATSMAN}} hits it straight back at him but it's not coming too fast and the height is pretty comfortable too. He should have taken it",KXIP,Nabi,Axar,Axar,,Nabi,,4,,4,
1191,1005940,SRH 1st Inns,16.3,"Chris Morris to Dhawan, no run, direct hit and Yuvraj would have had a diamond duck to his name. Very full and on leg-stump, Dhawan misses the flick and is rapped on the pads, the ball rolls to the left of Morris and Yuvraj was backing up for the run. Dhawan sends him back and Morris fires a throw which is off-target",Chris Morris to Dhawan,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, direct hit and Yuvraj would have had a diamond duck to his name. Very full and on leg-stump, {{BATSMAN}} misses the flick and is rapped on the pads, the ball rolls to the left of {{BOWLER}} and Yuvraj was backing up for the run. {{BATSMAN}} sends him back and {{BOWLER}} fires a throw which is off-target",SRH,Chris Morris,Dhawan,Dhawan,,Chris,Morris,6,,5,6.0
1299,9478272,GL 1st Inns,4.3,"Narine to Raina, no run, dropped! The odds of this happening are high when you field a non-regular keeper. Raina pokes at a turning off-break and gets an outside edge. Uthappa fails to gobble it up. How costly is that going to be?",Narine to Raina,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, dropped! The odds of this happening are high when you field a non-regular keeper. {{BATSMAN}} pokes at a turning off-break and gets an outside edge. Uthappa fails to gobble it up. How costly is that going to be?",GL,Narine,Raina,Raina,,Narine,,5,,6,
1374,3657322,SRH 1st Inns,11.1,"Stokes to Warner, no run, dropped, it's the Australian captain who has dropped his vice-captain. An Englishman looks aghast. Length delivery outside off, Warner got a big stride forward and drilled it straight to Smith at mid-off, in and out, that was a sitter",Stokes to Warner,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, dropped, it's the Australian captain who has dropped his vice-captain. An Englishman looks aghast. Length delivery outside off, {{BATSMAN}} got a big stride forward and drilled it straight to Smith at mid-off, in and out, that was a sitter",SRH,Stokes,Warner,Warner,,Stokes,,6,,6,
1436,1169775,MI 1st Inns,2.0,"Chris Morris to Buttler, no run, dropped by Rishabh Pant! Buttler went too far across his off-stump and tried the scoop, he may have played that stroke a touch too early. Spoons it straight to the keeper who was late to pick the ball as the ball swirled around him to distract his attention. Oh, boy!",Chris Morris to Buttler,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, dropped by Rishabh Pant! {{BATSMAN}} went too far across his off-stump and tried the scoop, he may have played that stroke a touch too early. Spoons it straight to the keeper who was late to pick the ball as the ball swirled around him to distract his attention. Oh, boy!",MI,Chris Morris,Buttler,Buttler,,Chris,Morris,7,,5,6.0
1553,7614896,MI 1st Inns,11.2,"Tahir to Karn Sharma, no run, oh Tiwary. He puts down another. This time it goes right in, only to pop out. A fierce slap this from Karn finding extra cover to perfection. Just that the catch cannot stick in his palms tonight",Tahir to Karn Sharma,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, oh Tiwary. He puts down another. This time it goes right in, only to pop out. A fierce slap this from {{BATSMAN}} finding extra cover to perfection. Just that the catch cannot stick in his palms tonight",MI,Tahir,Karn Sharma,Karn,Sharma,Tahir,,4,6.0,5,
1576,7614896,MI 1st Inns,4.5,"Stokes to Nitish Rana, no run, did that carry to Tiwary? Oh what a big wicket that would have been. Round the wicket, slanting the ball in on a back of length and getting it to straighten a touch. Rana fences it to slip. Oh, this is close. It might have just fallen short. Centimetres",Stokes to Nitish Rana,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, did that carry to Tiwary? Oh what a big wicket that would have been. Round the wicket, slanting the ball in on a back of length and getting it to straighten a touch. {{BATSMAN}} fences it to slip. Oh, this is close. It might have just fallen short. Centimetres",MI,Stokes,Nitish Rana,Nitish,Rana,Stokes,,6,4.0,6,
1736,4118946,DC 1st Inns,16.2,"Kuldeep Yadav to Corey Anderson, no run, lucky is Corey Anderson! That was scooped back to the bowler who lets it pop out. Dolly of a catch it was as the batsman pushed it back on the clipped drive",Kuldeep Yadav to Corey Anderson,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, lucky is {{BATSMAN}}! That was scooped back to the bowler who lets it pop out. Dolly of a catch it was as the batsman pushed it back on the clipped drive",DC,Kuldeep Yadav,Corey Anderson,Corey,Anderson,Kuldeep,Yadav,5,8.0,7,5.0
1841,8703679,SRH 1st Inns,5.0,"Axar to Warner, no run, dropped! Quicker delivery outside off, Warner cuts it and gets a thick outside edge. Saha couldn't hold onto the catch. Wasn't an easy one either",Axar to Warner,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, dropped! Quicker delivery outside off, {{BATSMAN}} cuts it and gets a thick outside edge. Saha couldn't hold onto the catch. Wasn't an easy one either",SRH,Axar,Warner,Warner,,Axar,,6,,4,
1956,9007667,DC 1st Inns,15.0,"Aaron to Rabada, no run, chance and dropped. Shaun Marsh is the culprit, he had two bites at the cherry, but can't hold on. Length delivery outside off, Rabada drilled it towards cover, Marsh tumbled to his right and let the ball slip, he was alert though, turned around and tried to grab the rebound, but can't do so. He had it for a moment, but the ball popped out as his elbows hit the ground",Aaron to Rabada,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, chance and dropped. Shaun Marsh is the culprit, he had two bites at the cherry, but can't hold on. Length delivery outside off, {{BATSMAN}} drilled it towards cover, Marsh tumbled to his right and let the ball slip, he was alert though, turned around and tried to grab the rebound, but can't do so. He had it for a moment, but the ball popped out as his elbows hit the ground",DC,Aaron,Rabada,Rabada,,Aaron,,6,,5,
2484,9316064,MI 1st Inns,8.0,"Shami to Parthiv Patel, no run, direct hit at the striker's end and Parthiv Patel was gone. But as luck would have it, Cummins missed the target. It was again a short ball and Parthiv Patel went for the pre-meditated hook, could not get behind the shot and ended up deflecting off the face of the bat toward mid-wicket. Was blinded through the motion and did not spot where the ball went. Heard the call late but was back in time",Shami to Parthiv Patel,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, direct hit at the striker's end and {{BATSMAN}} was gone. But as luck would have it, Cummins missed the target. It was again a short ball and {{BATSMAN}} went for the pre-meditated hook, could not get behind the shot and ended up deflecting off the face of the bat toward mid-wicket. Was blinded through the motion and did not spot where the ball went. Heard the call late but was back in time",MI,Shami,Parthiv Patel,Parthiv,Patel,Shami,,7,5.0,5,
2626,4724289,SRH 1st Inns,11.4,"Harbhajan to Henriques, no run, put down. Oh Harbhajan. Gets the ball to stick on the surface making Henriques stand back and check his push. Chips it meekly in the end off a straight batted defence, straight to the bowler. Doesn't quite anticipate the sharp dip on this does Bhajji as he barely stoops low. An out-popper",Harbhajan to Henriques,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, put down. Oh {{BOWLER}}. Gets the ball to stick on the surface making {{BATSMAN}} stand back and check his push. Chips it meekly in the end off a straight batted defence, straight to the bowler. Doesn't quite anticipate the sharp dip on this does Bhajji as he barely stoops low. An out-popper",SRH,Harbhajan,Henriques,Henriques,,Harbhajan,,9,,9,
3105,9401301,RCB 1st Inns,16.1,"Zaheer to Kohli, no run, just doesn't stick. Zak has to give himself the stare here. Lets off the big man after inducing him into a false stroke. Misreads the slower one here does Kohli and is way early into a whack. Chips it back to the bowler, who in his followthrough gets both palms to it. Just doesn't stick",Zaheer to Kohli,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, just doesn't stick. Zak has to give himself the stare here. Lets off the big man after inducing him into a false stroke. Misreads the slower one here does {{BATSMAN}} and is way early into a whack. Chips it back to the bowler, who in his followthrough gets both palms to it. Just doesn't stick",RCB,Zaheer,Kohli,Kohli,,Zaheer,,5,,6,
3372,4211071,DC 1st Inns,5.0,"Mujeeb to Shreyas Iyer, no run, a review for LBW. Looks high to the naked eye but gee that's hit Shreyas Iyer on the back pad, above the knee roll. Carrom ball I think, which skids on instead of turning away. Beats the batsman for pace and goes through Iyer, who's standing on his back foot to meet that. Ball-tracking is in and it's umpire's call on height, as suspected",Mujeeb to Shreyas Iyer,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, a review for LBW. Looks high to the naked eye but gee that's hit {{BATSMAN}} on the back pad, above the knee roll. Carrom ball I think, which skids on instead of turning away. Beats the batsman for pace and goes through {{BATSMAN}}, who's standing on his back foot to meet that. Ball-tracking is in and it's umpire's call on height, as suspected",DC,Mujeeb,Shreyas Iyer,Shreyas,Iyer,Mujeeb,,7,4.0,6,
3397,4211071,KXIP 1st Inns,5.0,"Mujeeb to Shreyas Iyer, no run, a review for LBW. Looks high to the naked eye but gee that's hit Shreyas Iyer on the back pad, above the knee roll. Carrom ball I think, which skids on instead of turning away. Beats the batsman for pace and goes through Iyer, who's standing on his back foot to meet that. Ball-tracking is in and it's umpire's call on height, as suspected",Mujeeb to Shreyas Iyer,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, a review for LBW. Looks high to the naked eye but gee that's hit {{BATSMAN}} on the back pad, above the knee roll. Carrom ball I think, which skids on instead of turning away. Beats the batsman for pace and goes through {{BATSMAN}}, who's standing on his back foot to meet that. Ball-tracking is in and it's umpire's call on height, as suspected",KXIP,Mujeeb,Shreyas Iyer,Shreyas,Iyer,Mujeeb,,7,4.0,6,
3442,1206999,RCB 1st Inns,11.1,"Johnson to de Villiers, no run, appeal for caught behind and he's been given. AB reviews immediately. He checks with the umpire about what the decision was for. The umpire informs him he's given him caught behind. There was a noise as the ball passed the bat, but clearly the ball just touched the flap of the pad and was nowhere close to the bat or glove. It was a short of length delivery outside off stump, de Villiers tried to guide that to third man and missed. DRS saves de Villiers",Johnson to de Villiers,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, appeal for caught behind and he's been given. AB reviews immediately. He checks with the umpire about what the {{BATSMAN}}cision was for. The umpire informs him he's given him caught behind. There was a noise as the ball passed the bat, but clearly the ball just touched the flap of the pad and was nowhere close to the bat or glove. It was a short of length {{BATSMAN}}livery outsi{{BATSMAN}} off stump, {{BATSMAN}} tried to gui{{BATSMAN}} that to third man and missed. DRS saves {{BATSMAN}}",RCB,Johnson,de Villiers,de,Villiers,Johnson,,2,8.0,7,
3518,5641860,CSK 1st Inns,11.1,"Narine to Dhoni, no run, Narine is a smart operator and he will mix it up. Important to read him from the hand rather the surface. Dhoni did not pick the off-break and lunged forward to nudge it into the on-side, beaten on the inside edge and struck around the kneeroll. The big press forward helped him there as ball-tracking showed it to be going over",Narine to Dhoni,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, {{BOWLER}} is a smart operator and he will mix it up. Important to read him from the hand rather the surface. {{BATSMAN}} did not pick the off-break and lunged forward to nudge it into the on-side, beaten on the inside edge and struck around the kneeroll. The big press forward helped him there as ball-tracking showed it to be going over",CSK,Narine,Dhoni,Dhoni,,Narine,,5,,6,
3665,5989339,SRH 1st Inns,4.4,"Krunal Pandya to Saha, no run, was that a chance? Saha backed away and Pandya followed him. Got a bit of turn and Saha missed the cut. The keeper failed to catch it cleanly. Not sure if there was any bat involved",Krunal Pandya to Saha,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, was that a chance? {{BATSMAN}} backed away and {{BOWLER}} followed him. Got a bit of turn and {{BATSMAN}} missed the cut. The keeper failed to catch it cleanly. Not sure if there was any bat involved",SRH,Krunal Pandya,Saha,Saha,,Krunal,Pandya,4,,6,6.0
3758,1505006,DC 1st Inns,19.5,"Mustafizur to Roy, no run, a hat-trick of dots, you are kidding me! Slower delivery again that spins across, Roy pokes at it and misses. MI review just like that, obviously no edge on that. Gee this is unbelievable stuff",Mustafizur to Roy,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, a hat-trick of dots, you are kidding me! Slower delivery again that spins across, {{BATSMAN}} pokes at it and misses. MI review just like that, obviously no edge on that. Gee this is unbelievable stuff",DC,Mustafizur,Roy,Roy,,Mustafizur,,3,,10,
3845,6298097,SRH 1st Inns,16.0,"Chawla to Deepak Hooda, no run, now then, there's a review from KKR for leg-before. Hooda didn't pick a googly from Chawla and was hit on the back pad. But in real time, it looked like the impact may have been outside off. Oh wait, there's an inside edge too. So that's that",Chawla to Deepak Hooda,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, now then, there's a review from KKR for leg-before. {{BATSMAN}} didn't pick a googly from {{BOWLER}} and was hit on the back pad. But in real time, it looked like the impact may have been outside off. Oh wait, there's an inside edge too. So that's that",SRH,Chawla,Deepak Hooda,Deepak,Hooda,Chawla,,6,5.0,6,
4024,2619288,KKR 1st Inns,10.0,"Nadeem to Nitish Rana, no run, Nadeem is jumping for an lbw appeal. Does not get it and Gambhir takes it. To the naked eye, looked like an under edge. Need UltraEdge to confirm. No bat. So we move on. Impact? Outside the line and that is such a poor review and DD burn their only review. Was very full to be sweeping, Nitish Rana went for it and managed to get himself outside the line",Nadeem to Nitish Rana,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, {{BOWLER}} is jumping for an lbw appeal. Does not get it and Gambhir takes it. To the naked eye, looked like an under edge. Need UltraEdge to confirm. No bat. So we move on. Impact? Outside the line and that is such a poor review and DD burn their only review. Was very full to be sweeping, {{BATSMAN}} went for it and managed to get himself outside the line",KKR,Nadeem,Nitish Rana,Nitish,Rana,Nadeem,,6,4.0,6,
4028,2619288,KKR 1st Inns,12.1,"Shami to Karthik, no run, DK has been given out lbw. By umpire Nand Kishore. Looks a dodgy decision. That's why the KKR skipper went for the review straight away. UltraEdge shows a big spike and the crowd cheer. Huge inside edge onto the pads. How did Nand Kishore miss that? Shami was pumped, but all that celebration now turns sour! Was a length delivery cutting back in, raps Karthik above the kneeroll, but there was an edge before that",Shami to Karthik,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, DK has been given out lbw. By umpire Nand Kishore. Looks a dodgy decision. That's why the {{TEAM}} skipper went for the review straight away. UltraEdge shows a big spike and the crowd cheer. Huge inside edge onto the pads. How did Nand Kishore miss that? {{BOWLER}} was pumped, but all that celebration now turns sour! Was a length delivery cutting back in, raps {{BATSMAN}} above the kneeroll, but there was an edge before that",KKR,Shami,Karthik,Karthik,,Shami,,7,,5,
4084,9886489,MI 1st Inns,18.2,"Woakes to Hardik Pandya, no run, a peach. Oh it doesn't get better. And to imagine it coming in the death in the midst of an onslaught. Oh and amidst all this noise, the umpire's heard a tickle. He's given him caught behind. But Pandya isn't amused, he goes up instantly. Why bother consulting your partner with 10 balls to go in the day. And UltraEdge is a murmur all through, but when it passes the bat it gets a little bigger. The sound's deaf. Oh and forget the spikes, the third umpire overturns",Woakes to Hardik Pandya,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, a peach. Oh it doesn't get better. And to imagine it coming in the death in the midst of an onslaught. Oh and amidst all this noise, the umpire's heard a tickle. He's given him caught behind. But {{BATSMAN}} isn't amused, he goes up instantly. Why bother consulting your partner with 10 balls to go in the day. And UltraEdge is a murmur all through, but when it passes the bat it gets a little bigger. The sound's deaf. Oh and forget the spikes, the third umpire overturns",MI,Woakes,Hardik Pandya,Hardik,Pandya,Woakes,,6,6.0,6,
4142,6071727,KKR 1st Inns,14.3,"Unadkat to Nitish Rana, no run, slower length ball on off, Rana defends back towards the bowler and sets off for a single. Ridiculous judgement. Karthik obviously sends him back, but even a dive wouldn't have saved him if Unadkat had hit the stumps direct. Michael Clarke calls it the worst attempted single in the history of cricket",Unadkat to Nitish Rana,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, slower length ball on off, {{BATSMAN}} defends back towards the bowler and sets off for a single. Ridiculous judgement. Karthik obviously sends him back, but even a dive wouldn't have saved him if {{BOWLER}} had hit the stumps direct. Michael Clarke calls it the worst attempted single in the history of cricket",KKR,Unadkat,Nitish Rana,Nitish,Rana,Unadkat,,6,4.0,7,
4211,2583918,KXIP 1st Inns,2.2,"Bhuvneshwar to Rahul, no run, good use of the technology by Rahul! He was very sure that he had hit it and UltraEdge confirms the inside edge. He was stuck on the crease to this inswinger and got pinged on the back leg. Cannot fault the umpire for raising his finger because if not for the edge, it was dead plumb",Bhuvneshwar to Rahul,NO RUN,"{{BOWLER}} to {{BATSMAN}}, no run, good use of the technology by {{BATSMAN}}! He was very sure that he had hit it and UltraEdge confirms the inside edge. He was stuck on the crease to this inswinger and got pinged on the back leg. Cannot fault the umpire for raising his finger because if not for the edge, it was dead plumb",KXIP,Bhuvneshwar,Rahul,Rahul,,Bhuvneshwar,,5,,11,
